duration,genre,rating,title,year
1h 56min,Drama,8.3,Full Metal Jacket,1987
1h 59min,Drama,8.3,Citizen Kane,1941
2h 16min,Crime,8.3,A Clockwork Orange,1971
2h 41min,Action,8.4,Dangal,2016
1h 48min,Drama,8.3,Eternal Sunshine of the Spotless Mind,2004
1h 39min,Crime,8.3,M,1931
2h 8min,Mystery,8.3,Vertigo,1958
1h 42min,Drama,8.3,Requiem for a Dream,2000
2h 29min,Adventure,8.3,2001: A Space Odyssey,1968
1h 39min,Crime,8.3,Reservoir Dogs,1992
2h 6min,Drama,8.3,Good Will Hunting,1997
2h 40min,Biography,8.3,Amadeus,1984
2h 33min,Adventure,8.3,Inglourious Basterds,2009
1h 21min,Animation,8.3,Toy Story,1995
2h 11min,Action,8.3,Star Wars: Episode VI - Return of the Jedi,1983
2h 45min,Drama,8.4,Taare Zameen Par,2007
2h 50min,Comedy,8.4,3 Idiots,2009
2h 58min,Biography,8.3,Braveheart,1995
2h 29min,Adventure,8.3,Das Boot,1981
2h 2min,Drama,8.3,American Beauty,1999
1h 46min,Animation,8.4,Your Name.,2016
1h 45min,Animation,8.4,Coco,2017
3h 49min,Crime,8.4,Once Upon a Time in America,1984
2h 17min,Action,8.3,Aliens,1986
1h 56min,Crime,8.4,Witness for the Prosecution,1957
2h 44min,Action,8.4,The Dark Knight Rises,2012
1h 35min,Comedy,8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
2h,Action,8.4,Oldboy,2003
2h 14min,Animation,8.4,Princess Mononoke,1997
1h 50min,Drama,8.4,Sunset Blvd.,1950
1h 38min,Animation,8.4,WALL·E,2008
1h 28min,Drama,8.4,Paths of Glory,1957
2h 26min,Drama,8.4,The Shining,1980
2h 5min,Comedy,8.5,The Great Dictator,1940
2h 17min,Drama,8.4,The Lives of Others,2006
2h 45min,Drama,8.4,Django Unchained,2012
1h 53min,Mystery,8.4,Memento,2000
1h 57min,Animation,8.4,Spider-Man: Into the Spider-Verse,2018
2h 27min,Drama,8.4,Apocalypse Now,1979
2h 29min,Action,8.5,Avengers: Infinity War,2018
2h 35min,Drama,8.5,Cinema Paradiso,1988
3h 1min,Action,8.5,Avengers: Endgame,2019
1h 29min,Animation,8.5,Grave of the Fireflies,1988
1h 55min,Action,8.4,Raiders of the Lost Ark,1981
1h 52min,Mystery,8.4,Rear Window,1954
1h 57min,Horror,8.4,Alien,1979
1h 42min,Drama,8.5,Casablanca,1942
2h 45min,Western,8.5,Once Upon a Time in the West,1968
2h 10min,Drama,8.5,The Prestige,2006
1h 52min,Biography,8.5,The Intouchables,2011
2h 31min,Crime,8.5,The Departed,2006
1h 49min,Horror,8.5,Psycho,1960
1h 27min,Comedy,8.5,City Lights,1931
1h 46min,Drama,8.5,Whiplash,2014
2h 35min,Action,8.5,Gladiator,2000
1h 27min,Comedy,8.5,Modern Times,1936
2h 30min,Biography,8.5,The Pianist,2002
2h 17min,Action,8.5,Terminator 2: Judgment Day,1991
1h 59min,Drama,8.5,American History X,1998
1h 46min,Crime,8.5,The Usual Suspects,1995
1h 56min,Adventure,8.5,Back to the Future,1985
1h 50min,Action,8.5,Léon: The Professional,1994
2h 13min,Drama,8.7,Harakiri,1962
1h 28min,Animation,8.5,The Lion King,1994
2h 5min,Animation,8.6,Spirited Away,2001
3h 9min,Crime,8.6,The Green Mile,1999
2h 49min,Adventure,8.6,Interstellar,2014
2h 12min,Comedy,8.6,Parasite,2019
2h 58min,Western,8.8,"The Good, the Bad and the Ugly",1966
2h 2min,Crime,8.6,Joker,2019
2h 58min,Adventure,8.8,The Lord of the Rings: The Fellowship of the Ring,2001
2h 19min,Drama,8.8,Fight Club,1999
1h 36min,Drama,8.9,12 Angry Men,1957
3h 15min,Biography,8.9,Schindler's List,1993
3h 21min,Adventure,8.9,The Lord of the Rings: The Return of the King,2003
2h 34min,Crime,8.9,Pulp Fiction,1994
3h 22min,Crime,9.0,The Godfather: Part II,1974
2h 32min,Action,9.0,The Dark Knight,2008
2h 55min,Crime,9.2,The Godfather,1972
